season,team_name,games,goals_pg,behinds_pg,scoring_shots_pg,goal_conv_pct,inside_50s_pg,rebound_50s_pg,marks_i50_pg,hitouts_pg,clearances_pg,centre_clearances_pg,stoppage_clearances_pg,cp_pg,intercept_poss_pg,tackles_i50_pg
2013,Adelaide Crows,22.0,13.5,12.8,26.3,0.5133,53.2,33.8,11.2,58.5,36.9,,,144.7,,
2013,Brisbane Lions,22.0,12.6,12.1,24.7,0.5101,50.8,35.5,10.1,63.5,35.7,,,135.1,,
2013,Carlton Blues,24.0,13.8,13.4,27.200000000000003,0.5074,52.8,32.7,12.9,63.1,39.8,,,147.2,,
2013,Collingwood Magpies,23.0,13.9,12.9,26.8,0.5187,54.9,32.1,14.2,65.5,35.1,,,140.2,,
2013,Essendon Bombers,22.0,14.2,12.4,26.6,0.5338,54.9,33.2,11.8,60.5,37.4,,,141.1,,
2013,Fremantle Dockers,25.0,13.4,10.6,24.0,0.5583,47.7,31.8,11.6,65.9,36.6,,,142.7,,
2013,Geelong Cats,25.0,15.6,13.4,29.0,0.5379,57.6,31.3,12.5,66.0,34.2,,,145.0,,
2013,Gold Coast Suns,22.0,12.6,11.9,24.5,0.5143,49.6,34.9,10.4,60.3,38.1,,,139.3,,
2013,Greater Western Sydney Giants,22.0,10.1,9.0,19.1,0.5288,39.8,36.5,6.7,59.0,36.3,,,125.9,,
2013,Hawthorn Hawks,25.0,16.6,12.9,29.5,0.5627,55.7,30.9,15.1,64.5,38.3,,,142.2,,
2013,Melbourne Demons,22.0,9.5,9.2,18.7,0.508,40.0,35.3,7.9,61.0,32.8,,,123.7,,
2013,North Melbourne Kangaroos,22.0,15.6,11.6,27.2,0.5735,51.1,33.1,12.6,58.6,39.2,,,140.6,,
2013,Port Adelaide Power,24.0,13.4,11.9,25.3,0.5296,51.0,31.0,12.9,66.3,37.4,,,137.4,,
2013,Richmond Tigers,23.0,14.1,13.1,27.2,0.5184,52.3,33.2,13.5,56.0,37.6,,,136.6,,
2013,St Kilda Saints,22.0,11.4,11.1,22.5,0.5067,46.4,34.6,12.0,56.5,33.8,,,129.6,,
2013,Sydney Swans,25.0,14.5,11.1,25.6,0.5664,53.6,36.4,11.9,71.1,42.1,,,155.2,,
2013,West Coast Eagles,22.0,13.4,12.2,25.6,0.5234,48.0,32.5,12.6,68.7,39.3,,,143.1,,
2013,Western Bulldogs,22.0,12.9,10.4,23.3,0.5536,51.0,32.0,10.1,66.1,41.9,,,149.1,,
2014,Adelaide Crows,22.0,14.3,12.9,27.200000000000003,0.5257,55.1,35.3,11.0,62.1,39.2,,,144.9,,
2014,Brisbane Lions,22.0,10.1,9.3,19.4,0.5206,45.5,35.5,8.4,63.9,36.7,,,125.0,,
2014,Carlton Blues,22.0,12.6,10.7,23.299999999999997,0.5408,47.5,35.5,11.7,61.5,38.2,,,133.5,,
2014,Collingwood Magpies,22.0,11.4,11.6,23.0,0.4957,49.6,34.1,11.9,71.1,34.5,,,134.8,,
2014,Essendon Bombers,23.0,11.9,11.5,23.4,0.5085,53.2,32.2,12.2,65.9,37.5,,,135.0,,
2014,Fremantle Dockers,24.0,13.2,11.3,24.5,0.5388,50.0,31.9,11.3,65.0,39.3,,,144.3,,
2014,Geelong Cats,24.0,13.1,12.7,25.799999999999997,0.5078,52.0,30.0,14.0,69.8,33.9,,,136.1,,
2014,Gold Coast Suns,22.0,12.6,11.3,23.9,0.5272,49.7,36.0,9.9,66.8,40.1,,,144.3,,
2014,Greater Western Sydney Giants,22.0,11.6,11.1,22.7,0.511,46.9,37.0,9.1,68.1,39.5,,,130.2,,
2014,Hawthorn Hawks,25.0,16.7,11.6,28.299999999999997,0.5901,55.3,32.0,12.8,62.3,40.9,,,142.7,,
2014,Melbourne Demons,22.0,8.6,9.0,17.6,0.4886,40.5,35.0,8.7,63.4,34.2,,,130.2,,
2014,North Melbourne Kangaroos,25.0,13.1,12.5,25.6,0.5117,50.2,36.6,10.6,63.7,38.0,,,135.4,,
2014,Port Adelaide Power,25.0,14.5,13.6,28.1,0.516,56.2,29.6,13.8,69.1,40.3,,,142.4,,
2014,Richmond Tigers,23.0,12.4,10.9,23.3,0.5322,50.2,34.2,12.1,63.6,40.2,,,136.7,,
2014,St Kilda Saints,22.0,9.6,9.4,19.0,0.5053,43.9,34.6,9.9,64.5,36.3,,,126.3,,
2014,Sydney Swans,25.0,14.0,12.9,26.9,0.5204,56.2,34.8,12.1,72.4,39.0,,,147.0,,
2014,West Coast Eagles,22.0,13.6,11.2,24.799999999999997,0.5484,50.8,32.1,10.4,70.0,38.7,,,139.4,,
2014,Western Bulldogs,22.0,11.7,11.0,22.7,0.5154,49.2,31.7,9.4,70.4,40.1,,,142.8,,
2015,Adelaide Crows,23.0,14.4,12.3,26.700000000000003,0.5393,55.0,34.8,13.4,60.2,40.6,13.8,26.9,142.7,66.1,10.3
2015,Brisbane Lions,22.0,10.2,9.7,19.9,0.5126,44.2,34.0,10.2,62.5,40.9,12.3,28.7,129.1,57.0,10.2
2015,Carlton Blues,22.0,9.9,9.6,19.5,0.5077,44.1,36.0,9.3,56.6,39.5,13.2,25.9,130.2,57.0,8.1
2015,Collingwood Magpies,22.0,13.1,11.4,24.5,0.5347,52.6,31.6,13.0,72.0,39.0,11.4,27.6,144.4,66.6,11.4
2015,Essendon Bombers,22.0,10.3,10.2,20.5,0.5024,49.0,37.0,9.6,66.3,36.5,11.2,24.9,136.4,69.3,10.2
2015,Fremantle Dockers,24.0,12.2,9.8,22.0,0.5545,48.7,30.4,10.5,63.6,42.0,12.6,29.2,140.5,62.0,12.1
2015,Geelong Cats,21.0,12.9,10.5,23.4,0.5513,49.8,33.8,13.5,68.0,34.6,12.3,22.2,131.9,63.9,11.1
2015,Gold Coast Suns,22.0,10.7,10.1,20.799999999999997,0.5144,45.7,37.8,9.4,65.5,38.8,12.8,25.9,136.1,63.2,8.9
2015,Greater Western Sydney Giants,22.0,12.2,12.0,24.2,0.5041,49.3,37.1,11.8,67.5,37.6,10.4,27.1,127.7,61.9,10.2
2015,Hawthorn Hawks,26.0,16.4,11.4,27.799999999999997,0.5899,56.1,30.3,13.8,65.6,40.4,13.0,27.1,134.5,63.1,12.6
2015,Melbourne Demons,22.0,10.2,10.2,20.4,0.5,44.5,35.2,9.6,69.6,37.9,10.6,27.0,135.2,61.2,10.0
