team,season,as_of_date,games_played,wins,losses,win_pct,points_for_avg,points_against_avg,home_points_for_avg,home_points_against_avg,away_points_for_avg,away_points_against_avg
Brisbane Broncos,2023,2023-08-30,27,20,7,0.7407,27.07,17.15,26.71,16.5,27.46,17.85
Canberra Raiders,2023,2023-08-30,25,13,12,0.52,20.56,26.12,20.75,27.83,20.38,24.54
Canterbury Bulldogs,2023,2023-08-30,24,7,17,0.2917,18.25,32.04,18.5,33.58,18.0,30.5
Cronulla Sharks,2023,2023-08-30,25,14,11,0.56,25.24,20.4,28.15,16.92,22.08,24.17
Dolphins,2023,2023-08-30,24,9,15,0.375,21.67,26.29,20.83,24.5,22.5,28.08
Gold Coast Titans,2023,2023-08-30,24,9,15,0.375,21.96,27.21,24.42,28.92,19.5,25.5
Manly Sea Eagles,2023,2023-08-30,24,11,13,0.4583,22.71,22.46,24.58,20.25,20.83,24.67
Melbourne Storm,2023,2023-08-30,27,17,10,0.6296,24.04,19.85,28.69,16.08,19.71,23.36
New Zealand Warriors,2023,2023-08-30,27,17,10,0.6296,23.33,19.7,21.08,15.69,25.43,23.43
Newcastle Knights,2023,2023-08-30,26,15,11,0.5769,25.62,19.96,28.92,18.31,22.31,21.62
North QLD Cowboys,2023,2023-08-30,24,12,12,0.5,22.75,22.58,27.75,20.58,17.75,24.58
Parramatta Eels,2023,2023-08-30,24,12,12,0.5,24.46,23.92,22.92,20.67,26.0,27.17
Penrith Panthers,2023,2023-08-30,27,21,6,0.7778,27.44,12.81,28.67,12.2,25.92,13.58
South Sydney Rabbitohs,2023,2023-08-30,24,12,12,0.5,23.5,21.04,18.08,23.83,28.92,18.25
St. George Illawarra Dragons,2023,2023-08-30,24,5,19,0.2083,19.75,28.04,22.83,27.67,16.67,28.42
Sydney Roosters,2023,2023-08-30,26,14,12,0.5385,19.15,20.23,21.17,19.83,17.43,20.57
Wests Tigers,2023,2023-08-30,24,4,20,0.1667,16.04,28.12,20.42,24.08,11.67,32.17
