team_id,team,season,as_of_date,run_metres_pg,source_note
4,Melbourne Storm,2026,2026-03-24,1683,foxsports.com.au/nrl stats — 2026 season averages as at R4
1,Penrith Panthers,2026,2026-03-24,1651,foxsports.com.au/nrl stats — 2026 season averages as at R4
6,Sydney Roosters,2026,2026-03-24,1618,foxsports.com.au/nrl stats — 2026 season averages as at R4
12,North Queensland Cowboys,2026,2026-03-24,1582,foxsports.com.au/nrl stats — 2026 season averages as at R4
8,Cronulla-Sutherland Sharks,2026,2026-03-24,1571,foxsports.com.au/nrl stats — 2026 season averages as at R4
5,Newcastle Knights,2026,2026-03-24,1558,foxsports.com.au/nrl stats — 2026 season averages as at R4
2,Brisbane Broncos,2026,2026-03-24,1524,foxsports.com.au/nrl stats — 2026 season averages as at R4
3,New Zealand Warriors,2026,2026-03-24,1512,foxsports.com.au/nrl stats — 2026 season averages as at R4
11,St. George Illawarra Dragons,2026,2026-03-24,1501,foxsports.com.au/nrl stats — 2026 season averages as at R4
9,Gold Coast Titans,2026,2026-03-24,1489,foxsports.com.au/nrl stats — 2026 season averages as at R4
10,Canterbury-Bankstown Bulldogs,2026,2026-03-24,1476,foxsports.com.au/nrl stats — 2026 season averages as at R4
15,Manly-Warringah Sea Eagles,2026,2026-03-24,1465,foxsports.com.au/nrl stats — 2026 season averages as at R4
14,South Sydney Rabbitohs,2026,2026-03-24,1448,foxsports.com.au/nrl stats — 2026 season averages as at R4
7,Canberra Raiders,2026,2026-03-24,1437,foxsports.com.au/nrl stats — 2026 season averages as at R4
13,Dolphins,2026,2026-03-24,1426,foxsports.com.au/nrl stats — 2026 season averages as at R4
17,Parramatta Eels,2026,2026-03-24,1388,foxsports.com.au/nrl stats — 2026 season averages as at R4
16,Wests Tigers,2026,2026-03-24,1361,foxsports.com.au/nrl stats — 2026 season averages as at R4
