team_id,team,season,as_of_date,fdo_pg,krm_pg,source_note
6,Sydney Roosters,2026,2026-03-24,1.1,97,NRL stats — 2026 season averages as at R4
4,Melbourne Storm,2026,2026-03-24,1.3,88,NRL stats — 2026 season averages as at R4
12,North Queensland Cowboys,2026,2026-03-24,1.2,105,NRL stats — 2026 season averages as at R4
15,Manly-Warringah Sea Eagles,2026,2026-03-24,1.0,90,NRL stats — 2026 season averages as at R4
8,Cronulla-Sutherland Sharks,2026,2026-03-24,0.7,107,NRL stats — 2026 season averages as at R4
1,Penrith Panthers,2026,2026-03-24,1.9,151,NRL stats — 2026 season averages as at R4
13,Dolphins,2026,2026-03-24,1.0,95,NRL stats — 2026 season averages as at R4
17,Parramatta Eels,2026,2026-03-24,1.4,84,NRL stats — 2026 season averages as at R4
2,Brisbane Broncos,2026,2026-03-24,1.1,94,NRL stats — 2026 season averages as at R4
10,Canterbury-Bankstown Bulldogs,2026,2026-03-24,1.9,100,NRL stats — 2026 season averages as at R4
3,New Zealand Warriors,2026,2026-03-24,1.3,122,NRL stats — 2026 season averages as at R4
11,St. George Illawarra Dragons,2026,2026-03-24,1.0,65,NRL stats — 2026 season averages as at R4
14,South Sydney Rabbitohs,2026,2026-03-24,1.3,61,NRL stats — 2026 season averages as at R4
9,Gold Coast Titans,2026,2026-03-24,1.1,81,NRL stats — 2026 season averages as at R4
7,Canberra Raiders,2026,2026-03-24,0.9,89,NRL stats — 2026 season averages as at R4
5,Newcastle Knights,2026,2026-03-24,1.0,113,NRL stats — 2026 season averages as at R4
16,Wests Tigers,2026,2026-03-24,1.0,68,NRL stats — 2026 season averages as at R4
