team_name,team_id,season,as_of_date,run_metres_pg,completion_rate,errors_pg,penalties_pg,kick_metres_pg,source_note
Brisbane Broncos,2,2023,2023-08-30,,,,,, nrl.com.au 2023 season averages
Canberra Raiders,7,2023,2023-08-30,,,,,,nrl.com.au 2023 season averages
Canterbury-Bankstown Bulldogs,10,2023,2023-08-30,,,,,,nrl.com.au 2023 season averages
Cronulla-Sutherland Sharks,8,2023,2023-08-30,,,,,,nrl.com.au 2023 season averages
Dolphins,13,2023,2023-08-30,,,,,,nrl.com.au 2023 season averages
Gold Coast Titans,9,2023,2023-08-30,,,,,,nrl.com.au 2023 season averages
Manly-Warringah Sea Eagles,15,2023,2023-08-30,,,,,,nrl.com.au 2023 season averages
Melbourne Storm,4,2023,2023-08-30,,,,,,nrl.com.au 2023 season averages
New Zealand Warriors,3,2023,2023-08-30,,,,,,nrl.com.au 2023 season averages
Newcastle Knights,5,2023,2023-08-30,,,,,,nrl.com.au 2023 season averages
North Queensland Cowboys,12,2023,2023-08-30,,,,,,nrl.com.au 2023 season averages
Parramatta Eels,17,2023,2023-08-30,,,,,,nrl.com.au 2023 season averages
Penrith Panthers,1,2023,2023-08-30,,,,,,nrl.com.au 2023 season averages
South Sydney Rabbitohs,14,2023,2023-08-30,,,,,,nrl.com.au 2023 season averages
St. George Illawarra Dragons,11,2023,2023-08-30,,,,,,nrl.com.au 2023 season averages
Sydney Roosters,6,2023,2023-08-30,,,,,,nrl.com.au 2023 season averages
Wests Tigers,16,2023,2023-08-30,,,,,,nrl.com.au 2023 season averages
