date,home,away,venue,is_final,ml_home_prob,ml_margin,ml_total,ml_confidence,ml_home_odds,ml_away_odds,mkt_home_open,mkt_away_open,mkt_home_prob,home_line_open,total_line_open,ev_home,ev_away,handicap_edge,total_edge,actual_home_score,actual_away_score,actual_margin,actual_total,actual_home_win,home_covers,over_hit
2025-03-07,Sydney Swans,Hawthorn Hawks,SCG,0,0.3922,10.4,180.9,0.6078,2.549,1.645,1.85,1.97,0.5157,-1.5,170.5,-0.2743,0.1973,8.9,10.4,76.0,96.0,-20.0,172.0,0,0,1
2025-03-09,Greater Western Sydney Giants,Collingwood Magpies,ENGIE Stadium,0,0.6234,13.8,162.7,0.6234,1.604,2.655,1.68,2.2,0.567,-7.5,169.5,0.0472,-0.1714,6.3,-6.8,104.0,52.0,52.0,156.0,1,1,0
2025-03-13,Richmond Tigers,Carlton Blues,MCG,0,0.5124,-4.1,164.5,0.5124,1.951,2.051,9.5,1.06,0.1004,46.5,176.5,3.8681,-0.4832,42.4,-12.0,82.0,69.0,13.0,151.0,1,1,0
2025-03-14,Hawthorn Hawks,Essendon Bombers,MCG,0,0.8615,30.1,202.4,0.8615,1.161,7.222,1.31,3.5,0.7277,-20.5,170.5,0.1286,-0.5154,9.6,31.9,111.0,85.0,26.0,196.0,1,1,1
2025-03-15,Geelong Cats,Fremantle Dockers,GMHBA Stadium,0,0.5878,-6.1,152.6,0.5878,1.701,2.426,1.54,2.5,0.6188,-10.5,170.5,-0.0948,0.0305,-16.6,-17.9,147.0,69.0,78.0,216.0,1,1,1
2025-03-15,Sydney Swans,Brisbane Lions,SCG,0,0.7818,14.0,147.2,0.7818,1.279,4.583,1.82,2.0,0.5236,1.5,176.5,0.4229,-0.5636,15.5,-29.3,82.0,86.0,-4.0,168.0,0,0,0
2025-03-15,Collingwood Magpies,Port Adelaide Power,MCG,0,0.642,18.3,173.7,0.642,1.558,2.793,1.62,2.3,0.5867,-8.5,165.5,0.04,-0.1765,9.8,8.2,136.0,45.0,91.0,181.0,1,1,1
2025-03-15,Western Bulldogs,North Melbourne Kangaroos,Marvel Stadium,0,0.9688,42.6,187.2,0.9688,1.032,32.088,1.22,4.35,0.781,-26.5,174.5,0.182,-0.8644,16.1,12.7,113.0,97.0,16.0,210.0,1,0,1
2025-03-16,Adelaide Crows,St Kilda Saints,Adelaide Oval,0,0.6809,19.4,156.1,0.6809,1.469,3.134,1.42,2.9,0.6713,-15.5,159.5,-0.0331,-0.0747,3.9,-3.4,135.0,72.0,63.0,207.0,1,1,1
2025-03-16,West Coast Eagles,Gold Coast Suns,Optus Stadium,0,0.6822,11.5,160.7,0.6822,1.466,3.147,2.7,1.47,0.3525,13.5,166.5,0.842,-0.5329,25.0,-5.8,49.0,136.0,-87.0,185.0,0,0,1
2025-03-16,Melbourne Demons,Greater Western Sydney Giants,MCG,0,0.6454,-5.3,168.6,0.6454,1.549,2.82,2.4,1.58,0.397,9.5,165.5,0.5491,-0.4398,4.2,3.1,74.0,77.0,-3.0,151.0,0,1,0
2025-03-20,Carlton Blues,Hawthorn Hawks,MCG,0,0.7112,-0.6,154.7,0.7112,1.406,3.463,2.3,1.62,0.4133,8.5,170.5,0.6358,-0.5322,7.9,-15.8,60.0,80.0,-20.0,140.0,0,0,0
2025-03-21,Western Bulldogs,Collingwood Magpies,MCG,0,0.5024,-5.1,178.3,0.5024,1.99,2.01,2.0,1.82,0.4764,2.5,176.5,0.0048,-0.0944,-2.6,1.8,70.0,76.0,-6.0,146.0,0,0,0
2025-03-22,Essendon Bombers,Adelaide Crows,MCG,0,0.5823,2.5,168.3,0.5823,1.717,2.394,1.8,2.02,0.5288,-2.5,176.5,0.0481,-0.1562,0.0,-8.2,100.0,161.0,-61.0,261.0,0,0,1
2025-03-22,Port Adelaide Power,Richmond Tigers,Adelaide Oval,0,0.7455,24.1,153.7,0.7455,1.341,3.929,1.05,10.0,0.905,-48.5,176.5,-0.2172,1.5451,-24.4,-22.8,140.0,68.0,72.0,208.0,1,1,1
2025-03-22,St Kilda Saints,Geelong Cats,Marvel Stadium,0,0.2861,-11.9,159.9,0.7139,3.496,1.401,2.6,1.5,0.3659,12.5,173.5,-0.2563,0.0709,0.6,-13.6,98.0,91.0,7.0,189.0,1,1,1
2025-03-23,Brisbane Lions,West Coast Eagles,Gabba,0,0.9951,69.0,179.8,0.9951,1.005,,1.05,10.0,0.905,-49.5,175.5,0.0448,-0.9506,19.5,4.3,94.0,75.0,19.0,169.0,1,0,0
2025-03-23,Fremantle Dockers,Sydney Swans,Optus Stadium,0,0.5406,-4.5,167.3,0.5406,1.85,2.177,1.68,2.2,0.567,-6.5,164.5,-0.0918,0.0106,-11.0,2.8,65.0,68.0,-3.0,133.0,0,0,0
2025-03-23,North Melbourne Kangaroos,Melbourne Demons,Marvel Stadium,0,0.3258,-22.8,180.7,0.6742,3.069,1.483,3.2,1.36,0.2982,18.5,173.5,0.0425,-0.0831,-4.3,7.2,125.0,66.0,59.0,191.0,1,1,1
2025-03-27,Essendon Bombers,Port Adelaide Power,Marvel Stadium,0,0.2494,-30.3,144.6,0.7506,4.009,1.332,1.97,1.85,0.4843,1.5,175.5,-0.5086,0.3886,-28.8,-30.9,72.0,60.0,12.0,132.0,1,1,0
2025-03-28,Carlton Blues,Western Bulldogs,Marvel Stadium,0,0.5868,-1.0,162.0,0.5868,1.704,2.42,1.89,1.93,0.5052,-1.5,170.5,0.1091,-0.2025,-2.5,-8.5,75.0,83.0,-8.0,158.0,0,0,0
